GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mathlib,me.math.grid.tiled,SpatialTile,20,468,2,18,6,120,4,38,2,30
mathlib,me.math.grid.tiled,AbstractTiledSpatialGrid.CrossCovData,0,77,0,0,0,13,0,3,0,3
mathlib,me.math.grid.tiled,TiledSpatialGrid,16,177,3,9,5,40,2,13,0,9
mathlib,me.math.grid.tiled,AbstractTiledSpatialGrid,25,260,2,8,9,43,3,11,2,7
mathlib,me.math.grid.tiled,TiledSpatialGridPoint,0,174,0,10,0,55,0,27,0,22
mathlib,me.math.kdtree.search,RangeSearch,0,97,0,2,0,31,0,15,0,14
mathlib,me.math.grid.data,AbstractDataSample,0,13,0,0,0,5,0,3,0,3
mathlib,me.math.grid.data,STINGDataSample,7,84,0,2,3,27,2,13,2,12
mathlib,me.math.grid.data,DensityEstimateDataSample,0,16,0,0,0,5,0,3,0,3
mathlib,me.math,ThreeRotationQuaternion,0,214,0,0,0,36,0,7,0,7
mathlib,me.math,Quaternion,0,431,0,0,0,56,0,26,0,26
mathlib,me.math,Vertex,0,232,1,5,0,57,1,21,0,19
mathlib,me.math,EarthConstants,3,20,0,0,1,6,1,4,1,4
mathlib,me.math,LocalDownFrame.RelativePositionOrder,0,24,0,0,0,3,0,1,0,1
mathlib,me.math,VectorMath,0,409,0,8,0,52,0,24,0,20
mathlib,me.math,OrthoFrame,0,110,0,0,0,30,0,11,0,11
mathlib,me.math,ECFPositionedFrame,0,84,0,0,0,25,0,11,0,11
mathlib,me.math,LocalDownFrame,0,137,0,2,0,45,0,9,0,8
mathlib,me.math.grid.array,UniformSpatialGrid,0,464,1,37,0,84,1,32,0,14
mathlib,me.math.grid.array,SpatialGridPoint,0,86,0,0,0,27,0,12,0,12
mathlib,me.math.grid,SpatialGridData,0,35,0,0,0,13,0,6,0,6
mathlib,me.math.grid,AbstractSpatialGrid,0,65,0,0,0,18,0,7,0,7
mathlib,me.math.grid,AbstractSpatialGridOverlay,11,66,0,0,3,21,3,10,3,10
mathlib,me.math.grid,AbstractSpatialGridPoint,31,151,0,2,4,43,2,19,2,18
mathlib,me.math.kdtree,MinBoundingRectangle,91,476,17,25,18,82,17,35,6,25
mathlib,me.math.kdtree,KDNode,0,104,0,0,0,25,0,13,0,13
mathlib,me.math.kdtree,KDTree,10,399,4,40,6,95,4,31,0,13
mathlib,me.math.kdtree,INode.Direction,0,34,0,0,0,2,0,1,0,1
mathlib,me.math.kdtree,KDTree.GridComparator,0,72,0,10,0,21,0,11,0,6
mathlib,me.math.grid.tiled.mr,ClusterMetricDataResult,0,20,0,0,0,7,0,4,0,4
mathlib,me.math.grid.tiled.mr,MetricDataResult,0,13,0,0,0,6,0,3,0,3
mathlib,me.math.grid.tiled.mr,PopulateGridData,0,3,0,0,0,1,0,1,0,1
mathlib,me.math.grid.tiled.mr,DensityEstimateMetricDataResult,0,15,0,0,0,7,0,4,0,4
mathlib,me.math.grid.tiled.mr,PopulateGridData.Reduce,0,4,0,0,0,2,0,2,0,2
mathlib,me.math.grid.tiled.mr,PopulateGridData.Map,0,11,0,0,0,4,0,2,0,2
